frequency_hz,channel_1_raw_unit2_per_hz,channel_2_raw_unit2_per_hz,channel_3_raw_unit2_per_hz,channel_4_raw_unit2_per_hz,channel_5_raw_unit2_per_hz,channel_6_raw_unit2_per_hz,channel_7_raw_unit2_per_hz,channel_8_raw_unit2_per_hz,channel_9_raw_unit2_per_hz,channel_10_raw_unit2_per_hz,channel_11_raw_unit2_per_hz,channel_12_raw_unit2_per_hz,channel_13_raw_unit2_per_hz,channel_14_raw_unit2_per_hz,channel_15_raw_unit2_per_hz,channel_16_raw_unit2_per_hz,channel_17_raw_unit2_per_hz,channel_18_raw_unit2_per_hz,channel_19_raw_unit2_per_hz,channel_20_raw_unit2_per_hz,channel_21_raw_unit2_per_hz,channel_22_raw_unit2_per_hz,channel_23_raw_unit2_per_hz,channel_24_raw_unit2_per_hz,channel_25_raw_unit2_per_hz,channel_26_raw_unit2_per_hz,channel_27_raw_unit2_per_hz,channel_28_raw_unit2_per_hz,channel_29_raw_unit2_per_hz,channel_30_raw_unit2_per_hz,channel_31_raw_unit2_per_hz,channel_32_raw_unit2_per_hz,channel_33_raw_unit2_per_hz,channel_34_raw_unit2_per_hz,channel_35_raw_unit2_per_hz,channel_36_raw_unit2_per_hz,channel_37_raw_unit2_per_hz,channel_38_raw_unit2_per_hz,channel_39_raw_unit2_per_hz,channel_40_raw_unit2_per_hz,channel_41_raw_unit2_per_hz,channel_42_raw_unit2_per_hz,channel_43_raw_unit2_per_hz,channel_44_raw_unit2_per_hz,channel_45_raw_unit2_per_hz,channel_46_raw_unit2_per_hz,channel_47_raw_unit2_per_hz,channel_48_raw_unit2_per_hz,channel_49_raw_unit2_per_hz,channel_50_raw_unit2_per_hz,channel_51_raw_unit2_per_hz,channel_52_raw_unit2_per_hz,channel_53_raw_unit2_per_hz,channel_54_raw_unit2_per_hz,channel_55_raw_unit2_per_hz,channel_56_raw_unit2_per_hz
0.000000000000000000e+00,7.625680114536650392e-15,4.491101565624601985e-10,3.877538390518756804e-11,7.731388526397588282e-13,2.656507295526019995e-12,1.080982722642160711e-09,1.807059579768870849e-12,1.334565267548541166e-09,1.560546937249937003e-10,9.873362981100282514e-10,3.014540083844379447e-10,1.671316285793774168e-10,1.303007630131122831e-09,2.015661988022708415e-10,1.073173252444572374e-09,3.164861003407608353e-10,1.910744867375370435e-10,1.948647546757803480e-09,1.831161668680201287e-10,3.592773608521335499e-10,1.705572058248126392e-10,1.821631806240062564e-10,3.297238840515191952e-09,2.377734649548229882e-10,8.811295475598347680e-10,1.618445135021504907e-09,2.320933758470365169e-09,2.743315991174985780e-09,5.761984488745612793e-10,3.450190972710416027e-10,2.686497188949530740e-10,3.058180699756774982e-10,2.551898429938623646e-13,2.265744730231269776e-10,6.076165640408034479e-10,2.917647732759190977e-09,1.276484325818825317e-09,1.728437306116439333e-10,1.702112863628532757e-10,1.387903097877725750e-10,6.148445425683063406e-10,9.303023866595524641e-10,1.098271833185146689e-09,4.098878413951458913e-10,2.751667345176206689e-08,2.329435140390668856e-10,3.248122072599701761e-10,1.460307453596300796e-09,4.600106252192134289e-08,4.065821605082429481e-08,4.463219678846596767e-08,3.001153693744183143e-08,4.287317886654122610e-09,2.085350503875367014e-09,1.517568246337465956e-09,1.105388162730483950e-08
1.000000000000000000e+00,1.501734757541692620e-14,1.263901783876152032e-09,1.935262715055917918e-10,4.097917905581845440e-12,1.044823621330006071e-11,4.710727542769466170e-09,2.996694052533901141e-12,7.055160620415254321e-09,2.786560152180940565e-10,4.365091952952675863e-09,7.687416851757268015e-10,4.014609653532355741e-10,5.491826220312013522e-09,2.838871095227338346e-10,3.530589352629808695e-09,1.206096488092070363e-09,1.284828581171291139e-09,1.046322878946789896e-08,3.683164009779266443e-10,6.896717448137293440e-10,3.721625878254121631e-10,4.580435003543172643e-10,1.414276107821281996e-08,9.232298252430175697e-10,4.851733288802989965e-09,6.763432420343419858e-09,1.071305044437728453e-08,1.458244694099525446e-08,2.183960736894785448e-09,7.650696887643040310e-10,5.305657673475244268e-10,6.917018322072036487e-10,1.109661123656663312e-12,4.077548396681098734e-10,3.134259608429942552e-09,1.744865292221555643e-08,5.600344070396948107e-09,5.922134707658311235e-10,1.501496873195584822e-10,5.569989362719728451e-10,2.898722961010691508e-09,4.367552825466337907e-09,3.531947550224290472e-09,8.360748920258364125e-10,4.128774652552061875e-08,6.541115481724078258e-10,1.019355108339211184e-09,6.423989704107415138e-09,2.723104528017714635e-08,5.861022753915815261e-08,5.284325016618783684e-08,3.726022885331120576e-08,2.768962323282499910e-09,1.330671555766162721e-09,7.384040724493163169e-10,6.058763190897909328e-09
2.000000000000000000e+00,2.138320400704063418e-14,1.669340336795980223e-09,4.499106593461513045e-10,4.058197449929880244e-12,1.884064573624977271e-11,1.097274061435185668e-08,6.574345972550089996e-12,1.737159116333723141e-08,3.695871230978578319e-10,1.104853853327760872e-08,1.195763442510614791e-09,9.290595725511623651e-10,1.822594126504710275e-08,4.149107843897176722e-10,3.928976089037496741e-09,2.303106686198255840e-09,3.336700906729881642e-09,2.141690909247745237e-08,8.142726821598084575e-10,1.077164457341817305e-09,7.492410599851084293e-10,1.294611889745117200e-09,2.818774055883257158e-08,1.456513812927839262e-09,7.894351087802027914e-09,1.184072654295913753e-08,2.132117263271401540e-08,3.151970025701638245e-08,4.677874578607672874e-09,1.345269783672353840e-09,8.966614232890833225e-10,1.918138506468585574e-09,1.768769019370590017e-12,5.238245470476835775e-10,5.228040527173862738e-09,3.967960129487240888e-08,7.793623975410515513e-09,1.199223890002896663e-09,1.144276829920965214e-10,1.598649424651781238e-09,4.708768366785157216e-09,1.041357173990261928e-08,4.316068583988147356e-09,1.314402233898008749e-09,6.183340226550271320e-08,2.019277563392857439e-09,1.550545057483742533e-09,1.778182807002937017e-08,5.701221204610442947e-08,2.251413888471409394e-07,2.218640948575882789e-07,1.539539660492335377e-07,4.257742009506884841e-09,2.204173794893382519e-09,6.571896001929358028e-10,8.651748575201546683e-09
3.000000000000000000e+00,3.196126839572613056e-14,2.482046588172891652e-09,3.688974363656585311e-10,2.394348834587431962e-12,1.601844491986197385e-11,1.173958103853139147e-08,7.197493167240005088e-12,1.624005175051619143e-08,7.839067290379806208e-10,1.402896161833651176e-08,2.972229553948787822e-09,1.018999884817306927e-09,2.457989787314697235e-08,2.045228887429252726e-09,6.758256287509232620e-09,2.228540111402945172e-09,2.095428968229176949e-09,1.259143555417191264e-08,2.042012210495006990e-09,1.496241993724605048e-09,6.930174572150284700e-10,2.137024909520557724e-09,2.659098990704013893e-08,1.734502617854909167e-09,6.787378782148085614e-09,1.544386434227621902e-08,2.032062594167755338e-08,2.629002074003395758e-08,4.952897388127999577e-09,1.859367053953908079e-09,2.166361031960345043e-09,2.284305105256045027e-09,2.032930735856180404e-12,7.524229695096817319e-10,3.770304602393626100e-09,2.392139315977659491e-08,5.013674400859037688e-09,1.522445096746715546e-09,1.566006334200989554e-10,2.706597031708376062e-09,7.844761772609560377e-09,1.670615516946761614e-08,1.253747932708633583e-08,3.997764037009172015e-09,1.383367846799353040e-07,2.980765266683667548e-09,2.927132171892987479e-09,2.819508065524746713e-08,2.121321770416637674e-07,5.153242042780669288e-07,5.886328761493010988e-07,4.060270771384975910e-07,1.186797029395154742e-08,6.152080220956193352e-09,2.775020882721949050e-09,2.974230982850610179e-08
4.000000000000000000e+00,4.085243025695259742e-14,5.064928124072632125e-09,3.353231359743695884e-10,1.638801844910792185e-12,7.154882096493896649e-11,1.789835960174825087e-08,6.874296083100714294e-12,2.270018220716456528e-08,2.739950958555757095e-09,1.442405734386071338e-08,6.882188760152939543e-09,1.019314333547545544e-09,2.910986573016951278e-08,1.018392657785997671e-08,2.513519488476731086e-08,3.315956886954523432e-09,5.614971916276517579e-09,1.886481185558322852e-08,9.047412166746751007e-09,9.898536309552663129e-09,2.127045437491067281e-09,3.269275815061119316e-09,5.301709952783216045e-08,3.016889445129464747e-09,1.011107446498103177e-08,3.545559531728519127e-08,3.163117357073691375e-08,3.235716852696770157e-08,7.059404905577144257e-09,1.016859596500308201e-08,1.095826267615778008e-08,2.402810712336038242e-09,2.020266657676440374e-12,1.789998015233490308e-09,7.427177505825430650e-09,2.509550561985670859e-08,1.904683678062956022e-08,5.771130385192295156e-09,5.101622684494498425e-10,3.349956970224991292e-09,1.279631166521425871e-08,2.859806161926019796e-08,4.005383302138148616e-08,1.312112311338009643e-08,4.433500921922467525e-07,3.012384842476854149e-09,6.302503063461928381e-09,5.456119784510082003e-08,5.535932897892898532e-07,9.105465205326570791e-07,1.074241377908999001e-06,7.588764767715256294e-07,2.645537113068444200e-08,1.349470635767233438e-08,7.847455802795027175e-09,7.435647481003393249e-08
5.000000000000000000e+00,4.964396695551630641e-14,8.351444392130876167e-09,5.989773375884849708e-10,8.989176446679148371e-13,1.767192684099752966e-10,3.618536549184747180e-08,7.894307375252508810e-12,4.895739507133813036e-08,7.061231477597544903e-09,2.125967659293718378e-08,1.458829417975988549e-08,1.294521070605884779e-09,4.924936241089074219e-08,2.384402120755786499e-08,6.035405825428902928e-08,6.032596907295880941e-09,1.032292459455389411e-08,3.601622521932945930e-08,2.401599381286280026e-08,2.717733713748466787e-08,4.500998308005726466e-09,5.605718344591375594e-09,7.104550320142555662e-08,4.840036839671978378e-09,2.145294292065861437e-08,8.479665584909962238e-08,7.143910884509994197e-08,6.684389149268674701e-08,1.063733403246105389e-08,2.742274375044139052e-08,2.927857400667082471e-08,3.609783525048224014e-09,2.200752587510859338e-12,4.744894050717228238e-09,1.261953397629747888e-08,4.142502411621265210e-08,4.573590058576885202e-08,1.398121463312484154e-08,1.141020362583781988e-09,4.150860089195360538e-09,2.466904771490452183e-08,5.500571865295936784e-08,9.736879338027380726e-08,2.542222583530853874e-08,1.163621038856531621e-06,3.463419928896715926e-09,1.145047745086923195e-08,1.119320257790945231e-07,1.827227459591259733e-06,2.329950881776286368e-06,2.806812744566414346e-06,2.000610459852546592e-06,8.702423263701120086e-08,4.290937600100807314e-08,2.983373600799727767e-08,2.489646835337333217e-07
6.000000000000000000e+00,7.077983814054808470e-14,7.436306652996556589e-09,8.319602806209106113e-10,5.205506892379890955e-13,3.373615117228364427e-10,5.261555702002528214e-08,1.175070606471807854e-10,7.705654026917685199e-08,1.829609755429725392e-08,7.732884051657294828e-08,1.783073721730652582e-08,9.339347836801072032e-09,1.354263202535951865e-07,6.092643278008128380e-08,1.346218149800231680e-07,1.115682894875252013e-08,1.053822448670185592e-08,1.015584903653675618e-07,4.828027898204280140e-08,6.446542237717809106e-08,2.485888646196832291e-08,1.717228042010235821e-08,1.767747237266376900e-07,1.830840567973070954e-08,2.880491608367163031e-08,1.314296006752712997e-07,1.044170023830919141e-07,9.249962541836413502e-08,3.590569211051228123e-08,5.944866179035827679e-08,6.356482281966675857e-08,1.588903916646069495e-08,2.151464193502209728e-12,2.031445405954512406e-08,3.122063038399758233e-08,1.352083026239768650e-07,1.076965105062702798e-07,2.680163622875536290e-08,8.470974189254045641e-09,1.383297295288126959e-08,6.926687233888665208e-08,1.452284824118783302e-07,1.813737504466694176e-07,6.415907442156381395e-08,3.468401992295587534e-06,1.699777124683254191e-08,1.161815429348473814e-08,2.666018427529399514e-07,4.241282944691684051e-06,4.827087830953552446e-06,5.584817677041852686e-06,3.857039866660852634e-06,2.163383048110748425e-07,1.039491524182350201e-07,7.500481023328706274e-08,6.043926535441207465e-07
7.000000000000000000e+00,9.120349943510160916e-14,5.524816033020176469e-09,8.916358736563179513e-10,3.855735792541026343e-13,3.574214758943495364e-10,5.618554560857368575e-08,2.005606232243778151e-10,8.419985209898962245e-08,2.221203140050165929e-08,1.072150301871062566e-07,1.659270086596300741e-08,1.515340513516798263e-08,1.757164680645295774e-07,7.735741879387860235e-08,1.490246785938493425e-07,1.205217177187485613e-08,8.759803566190127968e-09,1.256630805874972917e-07,5.257792608945558526e-08,7.548751757495582893e-08,3.769880758347131389e-08,2.288901305883861911e-08,2.346665162859190790e-07,2.657210787787762126e-08,2.881053793334610785e-08,1.397794019194197436e-07,1.097787946352441117e-07,9.549036420111831217e-08,4.982860195835016036e-08,6.778808142201767589e-08,7.212152441141341442e-08,2.383233969427292769e-08,2.284180960410630445e-12,3.000411986535824376e-08,3.709175363031763165e-08,1.788515079766293892e-07,1.200735297023103860e-07,2.857677676109667675e-08,1.356094909012213350e-08,1.988641669665071494e-08,9.638011162338423309e-08,1.994599240270744052e-07,2.114029888018149801e-07,8.022324491888014941e-08,4.712653987773208792e-06,2.672321748499147812e-08,9.306809880793905952e-09,3.470315363612958333e-07,5.307418032189005637e-06,5.317756375936896339e-06,6.117997703315994479e-06,4.254593785741478774e-06,2.822790530399137969e-07,1.332052188109324070e-07,1.014512699532903017e-07,7.710019804774765928e-07
8.000000000000000000e+00,9.031646518160720249e-14,2.008654541944353425e-09,3.625873583792557694e-10,2.943438469278655301e-13,5.849296636088751725e-11,1.296836565223105564e-08,3.701329369421588930e-11,2.212098181841347472e-08,4.801366566265144867e-09,2.248033448760383747e-08,4.908728123809671472e-09,2.838342599194156454e-09,4.216899978730853664e-08,9.321087292422811436e-09,2.277711408682282859e-08,4.273565355291645941e-09,3.273799664513130656e-09,2.935800522006386025e-08,8.272000121655910628e-09,1.017581132849984196e-08,4.881684052262992126e-09,5.856011602021114930e-09,6.812169444600079896e-08,4.802323686526831268e-09,9.803555059849582917e-09,2.496442459294237665e-08,2.504723569093666797e-08,2.699680036008651981e-08,1.403283245794759700e-08,9.775946883039949232e-09,9.996541819794580590e-09,3.857643425684090551e-09,2.323080563785426307e-12,4.784228841732114066e-09,7.946754572484979573e-09,4.730996780786034443e-08,2.054835311653771759e-08,4.739437265598272068e-09,2.577650592920662689e-09,4.692251887523701812e-09,1.826114662419694299e-08,3.862869917092153568e-08,3.364198197063952721e-08,1.062721476278924088e-08,7.417768222623229556e-07,4.979379772991855441e-09,5.106257942328230559e-09,6.877006280601913512e-08,5.320227684994021491e-06,4.883863675405593676e-06,5.855892894665109723e-06,4.120313040250781088e-06,3.064634315558059845e-07,1.453487436983758402e-07,1.186028256952153217e-07,8.215841085205819510e-07
9.000000000000000000e+00,9.872202385143988066e-14,5.204150189665607153e-09,3.993725221780566577e-10,2.968420470190953227e-13,5.633506736187399056e-11,2.131976183337363265e-08,3.129547637262289111e-11,2.882470871703679700e-08,5.850183413132847150e-09,2.239674020269305709e-08,1.346620733636133227e-08,2.333072652194947026e-09,4.015464269863221533e-08,7.185574448573272887e-09,3.966616070178886996e-08,5.170463988492159903e-09,3.234863092785005915e-09,3.203321615304028741e-08,8.484825722478031192e-09,9.326727060038572511e-09,3.414182851659492609e-09,6.048143717346519355e-09,6.447792486658795253e-08,4.201498223469706221e-09,2.517762504507111126e-08,5.050292318216339294e-08,4.280523329731327939e-08,4.103424456874513003e-08,1.138223864103620411e-08,9.859525209231485656e-09,1.101720059553131034e-08,2.841922064669065759e-09,1.750548177549540895e-12,4.546185497759842913e-09,1.427539131054950363e-08,4.286746156587045932e-08,3.389050938840216149e-08,4.133426021512054228e-09,1.859127235426101576e-09,3.734888409398538637e-09,2.731743287021057888e-08,4.502157378033809969e-08,6.214297808827821276e-08,9.580996146928747367e-09,1.085397527351807770e-06,3.449842692358705868e-09,1.162530644443666191e-08,7.691946539463629775e-08,5.750195088744667734e-06,4.677424916422206600e-06,5.590926339870381468e-06,4.047882239972943842e-06,3.494359503798869815e-07,1.607728375107424152e-07,1.416412282704327889e-07,9.391636563214784653e-07
