time_s,x_0,x_1,x_2,x_3,d_0,d_1,d_2,d_3,u_0,u_1,u_2,u_3,a_0,a_1,a_2,a_3,e_0,e_1,e_2,e_3
0.000000000000000000e+00,-4.705589816802701036e-04,-4.645670760651978543e-04,-4.590353333857925496e-04,-4.535038750811662325e-04,-7.019130849869772808e-04,-6.820048285212776786e-04,-5.961608711980898902e-04,-6.280181471954524855e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.019130849869772808e-04,-6.820048285212776786e-04,-5.961608711980898902e-04,-6.280181471954524855e-04
5.000000000000000104e-04,-3.419403998095349537e-03,-2.822037365584223814e-03,-3.201428206862277394e-03,-2.638545160190172278e-03,1.040714638520256075e-03,-5.524503690915572826e-05,1.231126398865395929e-03,5.746450068940228261e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040714638520256075e-03,-5.524503690915572826e-05,1.231126398865395929e-03,5.746450068940228261e-04
1.000000000000000021e-03,-7.290425205536601311e-03,-3.198800755144763468e-03,-5.976672942389763162e-03,-2.760118908951824605e-03,1.066687174866282886e-03,-1.718548469415899244e-03,-1.048140660258774877e-03,1.644138917062096250e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.066687174866282886e-03,-1.718548469415899244e-03,-1.048140660258774877e-03,1.644138917062096250e-03
1.500000000000000031e-03,-8.701778527762505863e-03,-1.493100541316186129e-03,-5.921197417176509922e-03,-2.358644563958450704e-03,-2.739148071661792120e-04,-9.551408726953473493e-04,6.640646556817134767e-04,5.235330303680522197e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.739148071661792120e-04,-9.551408726953473493e-04,6.640646556817134767e-04,5.235330303680522197e-05
2.000000000000000042e-03,-2.409832450452777282e-03,-8.797266036448972513e-04,-2.142631602995454659e-03,4.823499734315928999e-04,1.578486962968802447e-04,-3.041396247436662335e-04,-6.812371245259014278e-04,1.632412224377788887e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.578486962968802447e-04,-3.041396247436662335e-04,-6.812371245259014278e-04,1.632412224377788887e-03
2.500000000000000052e-03,5.525877814713953638e-03,-4.303359635316103202e-03,6.601220328006305585e-04,4.813997337473059461e-03,5.841658533699097726e-04,1.679884363386768571e-03,9.712176334194827943e-04,-5.905594076896019621e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.841658533699097726e-04,1.679884363386768571e-03,9.712176334194827943e-04,-5.905594076896019621e-04
3.000000000000000062e-03,5.080712669312125937e-03,-9.866541480583482238e-03,4.253082056532254615e-04,6.701581060651487162e-03,1.130330073047072000e-03,2.044537556005684444e-04,4.428471051836634391e-04,-1.516369986552599429e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130330073047072000e-03,2.044537556005684444e-04,4.428471051836634391e-04,-1.516369986552599429e-03
3.500000000000000073e-03,-6.860909751009829083e-03,-1.001281432037128341e-02,-2.069606961006676890e-03,2.569696094427525480e-03,7.441268027184132347e-04,1.707243285695949101e-03,8.768996237692770019e-04,-7.367602627594649703e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.441268027184132347e-04,1.707243285695949101e-03,8.768996237692770019e-04,-7.367602627594649703e-05
4.000000000000000083e-03,-1.697386867338153416e-02,-2.881495598475222481e-03,-2.535418771424541654e-03,-5.194072882998209371e-03,6.708997528365905679e-04,1.226068100140997571e-03,1.197385047370275348e-04,-1.518266715191206708e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.708997528365905679e-04,1.226068100140997571e-03,1.197385047370275348e-04,-1.518266715191206708e-04
4.499999999999999660e-03,-6.392626236154017559e-03,8.062881465306643083e-03,3.781690284787316003e-03,-6.932527362198666852e-03,1.594622686861496032e-03,1.535623159880659559e-03,4.288463161138167975e-04,2.053806356722890600e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.594622686861496032e-03,1.535623159880659559e-03,4.288463161138167975e-04,2.053806356722890600e-05
